Date,Open,Close,High,Low,Volume,Supply,Exchange
27-Nov-21,$10.00 ,$10.00 ,$10.00 ,$10.00 ,$0.00 ,"7,023,964",INX Securities
28-Nov-21,$10.00 ,$10.00 ,$10.00 ,$10.00 ,$0.00 ,"7,023,964",INX Securities
29-Nov-21,$10.00 ,$10.00 ,$10.00 ,$10.00 ,$0.00 ,"7,023,964",INX Securities
30-Nov-21,$10.00 ,$10.00 ,$10.00 ,$10.00 ,$0.00 ,"7,023,964",INX Securities
1-Dec-21,$10.00 ,$10.00 ,$10.00 ,$10.00 ,$0.00 ,"7,023,964",INX Securities
2-Dec-21,$10.00 ,$10.00 ,$10.00 ,$10.00 ,$0.00 ,"7,023,964",INX Securities
3-Dec-21,$10.00 ,$10.00 ,$10.00 ,$10.00 ,$0.00 ,"7,023,964",INX Securities
4-Dec-21,$10.00 ,$10.00 ,$10.00 ,$10.00 ,$0.00 ,"7,023,964",INX Securities
5-Dec-21,$10.00 ,$10.00 ,$10.00 ,$10.00 ,$0.00 ,"7,023,964",INX Securities
6-Dec-21,$10.00 ,$10.00 ,$10.00 ,$10.00 ,$0.00 ,"7,023,964",INX Securities
7-Dec-21,$10.00 ,$10.00 ,$10.00 ,$10.00 ,$0.00 ,"7,023,964",INX Securities
8-Dec-21,$10.00 ,$10.00 ,$10.00 ,$10.00 ,$0.00 ,"7,023,964",INX Securities
9-Dec-21,$10.00 ,$11.50 ,$11.50 ,$10.00 ,"$9,848.30 ","7,023,964",INX Securities
10-Dec-21,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$0.00 ,"7,023,964",INX Securities
11-Dec-21,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$0.00 ,"7,023,964",INX Securities
12-Dec-21,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$0.00 ,"7,023,964",INX Securities
13-Dec-21,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$0.00 ,"7,023,964",INX Securities
14-Dec-21,$11.50 ,$11.50 ,$11.50 ,$11.50 ,$0.00 ,"7,023,964",INX Securities
