Date,Open,Close,High,Low,Volume,MarketCap,Supply,Exchange
"Oct 29, 2021",$9.00,$9.00,$9.00,$9.00,$0.00,"$63,215,676.00","7,023,964",Securitize Markets
"Oct 30, 2021",$9.00,$9.00,$9.00,$9.00,$0.00,"$63,215,676.00","7,023,964",Securitize Markets
"Oct 31, 2021",$9.00,$9.00,$9.00,$9.00,$0.00,"$63,215,676.00","7,023,964",Securitize Markets
"Nov 1, 2021",$9.00,$9.00,$9.00,$9.00,"$11,700.00","$63,215,676.00","7,023,964",Securitize Markets
"Nov 2, 2021",$9.00,$8.50,$9.00,$8.50,"$14,909.00","$59,703,694.00","7,023,964",Securitize Markets
"Nov 3, 2021",$8.50,$10.00,$10.00,$8.50,"$7,010.00","$70,239,640.00","7,023,964",Securitize Markets
"Nov 4, 2021",$10.00,$10.00,$10.00,$10.00,$0.00,"$70,239,640.00","7,023,964",Securitize Markets
"Nov 5, 2021",$10.00,$10.00,$10.00,$10.00,$0.00,"$70,239,640.00","7,023,964",Securitize Markets
"Nov 6, 2021",$10.00,$10.00,$10.00,$10.00,$0.00,"$70,239,640.00","7,023,964",Securitize Markets
"Nov 7, 2021",$10.00,$10.00,$10.00,$10.00,$0.00,"$70,239,640.00","7,023,964",Securitize Markets
"Nov 8, 2021",$10.00,$10.00,$10.00,$10.00,$0.00,"$70,239,640.00","7,023,964",Securitize Markets
"Nov 9, 2021",$10.00,$8.50,$10.00,$8.50,$17.00,"$59,703,694.00","7,023,964",Securitize Markets
"Nov 10, 2021",$8.50,$8.50,$8.50,$8.50,$0.00,"$59,703,694.00","7,023,964",Securitize Markets
"Nov 11, 2021",$8.50,$8.50,$8.50,$8.50,$0.00,"$59,703,694.00","7,023,964",Securitize Markets
"Nov 12, 2021",$8.50,$9.99,$9.99,$8.50,"$9,990.00","$70,169,400.36","7,023,964",Securitize Markets
"Nov 13, 2021",$9.99,$9.99,$9.99,$9.99,$0.00,"$70,169,400.36","7,023,964",Securitize Markets
"Nov 14, 2021",$9.99,$9.99,$9.99,$9.99,$0.00,"$70,169,400.36","7,023,964",Securitize Markets
"Nov 15, 2021",$9.99,$11.98,$11.98,$9.99,$599.00,"$84,147,088.72","7,023,964",Securitize Markets
"Nov 16, 2021",$11.98,$11.98,$11.98,$11.98,"$1,198.00","$84,147,088.72","7,023,964",Securitize Markets
"Nov 17, 2021",$11.98,$11.98,$11.98,$11.98,$0.00,"$84,147,088.72","7,023,964",Securitize Markets
"Nov 18, 2021",$11.98,$25.00,$25.00,$11.98,$25.00,"$175,599,100.00","7,023,964",Securitize Markets
"Nov 19, 2021",$25.00,$12.50,$25.00,$12.50,"$1,250.00","$87,799,550.00","7,023,964",Securitize Markets
"Nov 20, 2021",$12.50,$12.50,$12.50,$12.50,$0.00,"$87,799,550.00","7,023,964",Securitize Markets
"Nov 21, 2021",$12.50,$12.50,$12.50,$12.50,$0.00,"$87,799,550.00","7,023,964",Securitize Markets
"Nov 22, 2021",$12.50,$12.50,$12.50,$12.50,$125.00,"$87,799,550.00","7,023,964",Securitize Markets
"Nov 23, 2021",$12.50,$11.99,$12.50,$11.99,"$3,381.18","$84,217,328.36","7,023,964",Securitize Markets
"Nov 24, 2021",$11.99,$12.00,$12.00,$11.99,$120.00,"$84,287,568.00","7,023,964",Securitize Markets
"Nov 25, 2021",$12.00,$12.00,$12.00,$12.00,$0.00,"$84,287,568.00","7,023,964",Securitize Markets
"Nov 26, 2021",$12.00,$12.00,$12.00,$12.00,$0.00,"$84,287,568.00","7,023,964",Securitize Markets
"Nov 27, 2021",$12.00,$12.00,$12.00,$12.00,$0.00,"$84,287,568.00","7,023,964",Securitize Markets
"Nov 28, 2021",$12.00,$12.00,$12.00,$12.00,$0.00,"$84,287,568.00","7,023,964",Securitize Markets
"Nov 29, 2021",$12.00,$12.00,$12.00,$12.00,"$2,400.00","$84,287,568.00","7,023,964",Securitize Markets
"Nov 30, 2021",$12.00,$12.00,$12.00,$12.00,$0.00,"$84,287,568.00","7,023,964",Securitize Markets
"Dec 1, 2021",$12.00,$9.00,$12.00,$9.00,"$42,111.00","$63,215,676.00","7,023,964",Securitize Markets
"Dec 2, 2021",$9.00,$9.00,$9.00,$9.00,"$17,991.00","$63,215,676.00","7,023,964",Securitize Markets
"Dec 3, 2021",$9.00,$10.50,$10.50,$9.00,"$3,675.00","$73,751,622.00","7,023,964",Securitize Markets
"Dec 4, 2021",$10.50,$10.50,$10.50,$10.50,$0.00,"$73,751,622.00","7,023,964",Securitize Markets
